data1,data2,data3,data4,data5,data6,data7,data8
62,73,04,64,51,FF,9A,00
6A,73,04,64,50,FF,9A,00
72,73,04,64,4F,FF,9A,00
7A,73,04,64,4E,FF,9A,00
02,73,04,64,5B,FF,9C,00
0A,73,04,64,5A,FF,9C,00
12,73,04,64,58,FF,9D,00
1A,73,04,64,57,FF,9D,00
22,73,04,64,56,FF,9D,00
2A,73,04,64,55,FF,9D,00
32,73,04,64,53,FF,9E,00
3A,73,04,64,52,FF,9E,00
42,73,04,64,51,FF,9E,00
4A,73,04,64,50,FF,9E,00
52,73,04,64,50,FF,9D,00
5A,73,04,64,4F,FF,9D,00
62,73,04,64,4E,FF,9D,00
6A,73,04,64,4D,FF,9D,00
72,73,04,64,4D,FF,9C,00
7A,73,04,64,4C,FF,9C,00
02,73,04,64,5C,FF,9B,00
0A,73,04,64,5B,FF,9B,00
12,73,04,64,5B,FF,9A,00
1A,73,04,64,5A,FF,9A,00
22,73,04,64,58,FF,9B,00
2A,73,04,64,57,FF,9B,00
32,73,04,64,56,FF,9B,00
3A,73,04,64,55,FF,9B,00
42,73,04,64,56,FF,99,00
4A,73,04,64,55,FF,99,00
52,73,04,64,52,FF,9B,00
5A,73,04,64,51,FF,9B,00
62,73,04,64,52,FF,99,00
6A,73,04,64,51,FF,99,00
72,73,04,64,4E,FF,9B,00
7A,73,04,64,4D,FF,9B,00
12,73,04,64,5A,FF,9B,00
1A,73,04,64,59,FF,9B,00
22,73,04,64,57,FF,9C,00
2A,73,04,64,56,FF,9C,00
42,73,04,64,53,FF,9C,00
4A,73,04,64,52,FF,9C,00
52,73,04,64,51,FF,9C,00
5A,73,04,64,50,FF,9C,00
72,73,04,64,4B,FF,9E,00
7A,73,04,64,4A,FF,9E,00
02,73,04,64,58,FF,9F,00
0A,73,04,64,57,FF,9F,00
12,73,04,64,55,FF,A0,00
1A,73,04,64,54,FF,A0,00
22,73,04,64,52,FF,A1,00
2A,73,04,64,51,FF,A1,00
32,73,04,64,50,FF,A1,00
3A,73,04,64,4F,FF,A1,00
42,73,04,64,4C,FF,A3,00
4A,73,04,64,4B,FF,A3,00
52,73,04,64,49,FF,A4,00
5A,73,04,64,48,FF,A4,00
62,73,04,64,48,FF,A3,00
6A,73,04,64,47,FF,A3,00
72,73,04,64,46,FF,A3,00
7A,73,04,64,45,FF,A3,00
02,73,04,64,53,FF,A4,00
0A,73,04,64,52,FF,A4,00
12,73,04,64,53,FF,A2,00
1A,73,04,64,52,FF,A2,00
22,73,04,64,51,FF,A2,00
2A,73,04,64,50,FF,A2,00
32,73,04,64,4D,FF,A4,00
3A,73,04,64,4C,FF,A4,00
42,73,04,64,4B,FF,A4,00
4A,73,04,64,4A,FF,A4,00
62,73,04,64,46,FF,A5,00
6A,73,04,64,45,FF,A5,00
72,73,04,64,45,FF,A4,00
7A,73,04,64,44,FF,A4,00
02,73,04,64,50,FF,A7,00
0A,73,04,64,4F,FF,A7,00
12,73,04,64,4E,FF,A7,00
1A,73,04,64,4D,FF,A7,00
22,73,04,64,4C,FF,A7,00
2A,73,04,64,4B,FF,A7,00
32,73,04,64,4A,FF,A7,00
3A,73,04,64,49,FF,A7,00
42,73,04,64,48,FF,A7,00
4A,73,04,64,47,FF,A7,00
52,73,04,64,45,FF,A8,00
5A,73,04,64,44,FF,A8,00
62,73,04,64,43,FF,A8,00
6A,73,04,64,42,FF,A8,00
72,73,04,64,40,FF,A9,00
7A,73,04,64,3F,FF,A9,00
02,73,04,64,4D,FF,AA,00
0A,73,04,64,4C,FF,AA,00
12,73,04,64,4B,FF,AA,00
1A,73,04,64,4A,FF,AA,00
22,73,04,64,48,FF,AB,00
2A,73,04,64,47,FF,AB,00
32,73,04,64,46,FF,AB,00
3A,73,04,64,45,FF,AB,00
42,73,04,64,44,FF,AB,00
4A,73,04,64,43,FF,AB,00
52,73,04,64,42,FF,AB,00
5A,73,04,64,41,FF,AB,00
62,73,04,64,3F,FF,AC,00
6A,73,04,64,3E,FF,AC,00
72,73,04,64,3F,FF,AA,00
7A,73,04,64,3E,FF,AA,00
02,73,04,64,4E,FF,A9,00
0A,73,04,64,4D,FF,A9,00
12,73,04,64,4C,FF,A9,00
1A,73,04,64,4B,FF,A9,00
42,73,04,64,47,FF,A8,00
4A,73,04,64,46,FF,A8,00
62,73,04,64,44,FF,A7,00
6A,73,04,64,43,FF,A7,00
12,73,04,64,4A,FF,AB,00
1A,73,04,64,49,FF,AB,00
22,73,04,64,47,FF,AC,00
2A,73,04,64,46,FF,AC,00
32,73,04,64,43,FF,AE,00
3A,73,04,64,42,FF,AE,00
42,73,04,64,41,FF,AE,00
4A,73,04,64,40,FF,AE,00
52,73,04,64,3D,FF,B0,00
5A,73,04,64,3C,FF,B0,00
62,73,04,64,3A,FF,B1,00
6A,73,04,64,39,FF,B1,00
72,73,04,64,36,FF,B3,00
7A,73,04,64,35,FF,B3,00
02,73,04,64,43,FF,B4,00
0A,73,04,64,42,FF,B4,00
12,73,04,64,3F,FF,B6,00
1A,73,04,64,3E,FF,B6,00
22,73,04,64,3B,FF,B8,00
2A,73,04,64,3A,FF,B8,00
32,73,04,64,38,FF,B9,00
3A,73,04,64,37,FF,B9,00
42,73,04,64,35,FF,BA,00
4A,73,04,64,34,FF,BA,00
52,73,04,64,33,FF,BA,00
5A,73,04,64,32,FF,BA,00
62,73,04,64,30,FF,BB,00
6A,73,04,64,2F,FF,BB,00
72,73,04,64,2E,FF,BB,00
7A,73,04,64,2D,FF,BB,00
02,73,04,64,3E,FF,B9,00
0A,73,04,64,3D,FF,B9,00
12,73,04,64,3C,FF,B9,00
1A,73,04,64,3B,FF,B9,00
32,73,04,64,3B,FF,B6,00
3A,73,04,64,3A,FF,B6,00
42,73,04,64,3A,FF,B5,00
4A,73,04,64,39,FF,B5,00
52,73,04,64,37,FF,B6,00
5A,73,04,64,36,FF,B6,00
62,73,04,64,36,FF,B5,00
6A,73,04,64,35,FF,B5,00
12,73,04,64,43,FF,B2,00
1A,73,04,64,42,FF,B2,00
22,73,04,64,40,FF,B3,00
2A,73,04,64,3F,FF,B3,00
32,73,04,64,3E,FF,B3,00
3A,73,04,64,3D,FF,B3,00
42,73,04,64,3C,FF,B3,00
4A,73,04,64,3B,FF,B3,00
52,73,04,64,3A,FF,B3,00
5A,73,04,64,39,FF,B3,00
62,73,04,64,37,FF,B4,00
6A,73,04,64,36,FF,B4,00
72,73,04,64,34,FF,B5,00
7A,73,04,64,33,FF,B5,00
02,73,04,64,42,FF,B5,00
0A,73,04,64,41,FF,B5,00
42,73,04,64,33,FF,BC,00
4A,73,04,64,32,FF,BC,00
52,73,04,64,30,FF,BD,00
5A,73,04,64,2F,FF,BD,00
62,73,04,64,2D,FF,BE,00
6A,73,04,64,2C,FF,BE,00
72,73,04,64,2A,FF,BF,00
7A,73,04,64,29,FF,BF,00
02,73,04,64,36,FF,C1,00
0A,73,04,64,35,FF,C1,00
12,73,04,64,35,FF,C0,00
1A,73,04,64,34,FF,C0,00
22,73,04,64,33,FF,C0,00
2A,73,04,64,32,FF,C0,00
32,73,04,64,30,FF,C1,00
3A,73,04,64,2F,FF,C1,00
42,73,04,64,30,FF,BF,00
4A,73,04,64,2F,FF,BF,00
52,73,04,64,2B,FF,C2,00
5A,73,04,64,2A,FF,C2,00
62,73,04,64,29,FF,C2,00
6A,73,04,64,28,FF,C2,00
72,73,04,64,28,FF,C1,00
7A,73,04,64,27,FF,C1,00
02,73,04,64,34,FF,C3,00
0A,73,04,64,33,FF,C3,00
12,73,04,64,33,FF,C2,00
1A,73,04,64,32,FF,C2,00
22,73,04,64,31,FF,C2,00
2A,73,04,64,30,FF,C2,00
32,73,04,64,2D,FF,C4,00
3A,73,04,64,2C,FF,C4,00
42,73,04,64,2C,FF,C3,00
4A,73,04,64,2B,FF,C3,00
52,73,04,64,2A,FF,C3,00
5A,73,04,64,29,FF,C3,00
62,73,04,64,28,FF,C3,00
6A,73,04,64,27,FF,C3,00
72,73,04,64,25,FF,C4,00
7A,73,04,64,24,FF,C4,00
02,73,04,64,33,FF,C4,00
0A,73,04,64,32,FF,C4,00
12,73,04,64,31,FF,C4,00
1A,73,04,64,30,FF,C4,00
22,73,04,64,2D,FF,C6,00
2A,73,04,64,2C,FF,C6,00
32,73,04,64,2B,FF,C6,00
3A,73,04,64,2A,FF,C6,00
42,73,04,64,27,FF,C8,00
4A,73,04,64,26,FF,C8,00
52,73,04,64,25,FF,C8,00
5A,73,04,64,24,FF,C8,00
62,73,04,64,22,FF,C9,00
6A,73,04,64,21,FF,C9,00
72,73,04,64,21,FF,C8,00
7A,73,04,64,20,FF,C8,00
02,73,04,64,2E,FF,C9,00
0A,73,04,64,2D,FF,C9,00
12,73,04,64,2D,FF,C8,00
1A,73,04,64,2C,FF,C8,00
32,73,04,64,29,FF,C8,00
3A,73,04,64,28,FF,C8,00
42,73,04,64,29,FF,C6,00
4A,73,04,64,28,FF,C6,00
52,73,04,64,27,FF,C6,00
5A,73,04,64,26,FF,C6,00
72,73,04,64,20,FF,C9,00
7A,73,04,64,1F,FF,C9,00
02,73,04,64,2F,FF,C8,00
0A,73,04,64,2E,FF,C8,00
12,73,04,64,2A,FF,CB,00
1A,73,04,64,29,FF,CB,00
22,73,04,64,29,FF,CA,00
2A,73,04,64,28,FF,CA,00
32,73,04,64,25,FF,CC,00
3A,73,04,64,24,FF,CC,00
42,73,04,64,22,FF,CD,00
4A,73,04,64,21,FF,CD,00
52,73,04,64,1E,FF,CF,00
5A,73,04,64,1D,FF,CF,00
62,73,04,64,1C,FF,CF,00
6A,73,04,64,1B,FF,CF,00
72,73,04,64,18,FF,D1,00
7A,73,04,64,17,FF,D1,00
02,73,04,64,25,FF,D2,00
0A,73,04,64,24,FF,D2,00
12,73,04,64,22,FF,D3,00
1A,73,04,64,21,FF,D3,00
22,73,04,64,1E,FF,D5,00
2A,73,04,64,1D,FF,D5,00
32,73,04,64,1B,FF,D6,00
3A,73,04,64,1A,FF,D6,00
42,73,04,64,18,FF,D7,00
4A,73,04,64,17,FF,D7,00
52,73,04,64,15,FF,D8,00
5A,73,04,64,14,FF,D8,00
62,73,04,64,13,FF,D8,00
6A,73,04,64,12,FF,D8,00
72,73,04,64,12,FF,D7,00
7A,73,04,64,11,FF,D7,00
02,73,04,64,20,FF,D7,00
0A,73,04,64,1F,FF,D7,00
12,73,04,64,1E,FF,D7,00
1A,73,04,64,1D,FF,D7,00
32,73,04,64,1D,FF,D4,00
3A,73,04,64,1C,FF,D4,00
42,73,04,64,1B,FF,D4,00
4A,73,04,64,1A,FF,D4,00
52,73,04,64,1B,FF,D2,00
5A,73,04,64,1A,FF,D2,00
62,73,04,64,18,FF,D3,00
6A,73,04,64,17,FF,D3,00
72,73,04,64,16,FF,D3,00
7A,73,04,64,15,FF,D3,00
02,73,04,64,24,FF,D3,00
0A,73,04,64,23,FF,D3,00
12,73,04,64,21,FF,D4,00
1A,73,04,64,20,FF,D4,00
22,73,04,64,20,FF,D3,00
2A,73,04,64,1F,FF,D3,00
42,73,04,64,19,FF,D6,00
4A,73,04,64,18,FF,D6,00
52,73,04,64,17,FF,D6,00
5A,73,04,64,16,FF,D6,00
62,73,04,64,14,FF,D7,00
6A,73,04,64,13,FF,D7,00
72,73,04,64,11,FF,D8,00
7A,73,04,64,10,FF,D8,00
02,73,04,64,1D,FF,DA,00
0A,73,04,64,1C,FF,DA,00
12,73,04,64,1A,FF,DB,00
1A,73,04,64,19,FF,DB,00
22,73,04,64,16,FF,DD,00
2A,73,04,64,15,FF,DD,00
32,73,04,64,12,FF,DF,00
3A,73,04,64,11,FF,DF,00
42,73,04,64,0E,FF,E1,00
4A,73,04,64,0D,FF,E1,00
52,73,04,64,0B,FF,E2,00
5A,73,04,64,0A,FF,E2,00
62,73,04,64,09,FF,E2,00
6A,73,04,64,08,FF,E2,00
72,73,04,64,05,FF,E4,00
7A,73,04,64,04,FF,E4,00
02,73,04,64,14,FF,E3,00
0A,73,04,64,13,FF,E3,00
12,73,04,64,12,FF,E3,00
1A,73,04,64,11,FF,E3,00
22,73,04,64,11,FF,E2,00
2A,73,04,64,10,FF,E2,00
32,73,04,64,10,FF,E1,00
3A,73,04,64,0F,FF,E1,00
42,73,04,64,0D,FF,E2,00
4A,73,04,64,0C,FF,E2,00
52,73,04,64,0D,FF,E0,00
5A,73,04,64,0C,FF,E0,00
62,73,04,64,0B,FF,E0,00
6A,73,04,64,0A,FF,E0,00
72,73,04,64,08,FF,E1,00
7A,73,04,64,07,FF,E1,00
02,73,04,64,17,FF,E0,00
0A,73,04,64,16,FF,E0,00
12,73,04,64,14,FF,E1,00
1A,73,04,64,13,FF,E1,00
22,73,04,64,13,FF,E0,00
2A,73,04,64,12,FF,E0,00
32,73,04,64,11,FF,E0,00
3A,73,04,64,10,FF,E0,00
42,73,04,64,0F,FF,E0,00
4A,73,04,64,0E,FF,E0,00
62,73,04,64,0A,FF,E1,00
6A,73,04,64,09,FF,E1,00
02,73,04,64,15,FF,E2,00
0A,73,04,64,14,FF,E2,00
22,73,04,64,0F,FF,E4,00
2A,73,04,64,0E,FF,E4,00
32,73,04,64,0B,FF,E6,00
3A,73,04,64,0A,FF,E6,00
42,73,04,64,07,FF,E8,00
4A,73,04,64,06,FF,E8,00
52,73,04,64,04,FF,E9,00
5A,73,04,64,03,FF,E9,00
62,73,04,64,02,FF,E9,00
6A,73,04,64,01,FF,E9,00
72,73,04,64,FF,05,EA,00
72,73,04,64,FF,FF,EA,00
7A,73,04,64,FE,FF,EA,00
02,73,04,64,0E,FF,E9,00
0A,73,04,64,0D,FF,E9,00
12,73,04,64,0A,FF,EB,00
1A,73,04,64,09,FF,EB,00
22,73,04,64,09,FF,EA,00
2A,73,04,64,08,FF,EA,00
32,73,04,64,07,FF,EA,00
3A,73,04,64,06,FF,EA,00
42,73,04,64,03,FF,EC,00
4A,73,04,64,02,FF,EC,00
52,73,04,64,03,FF,EA,00
5A,73,04,64,02,FF,EA,00
62,73,04,64,00,FF,EB,00
6A,73,04,64,FF,05,EB,00
6A,73,04,64,FF,FF,EB,00
72,73,04,64,FD,FF,EC,00
7A,73,04,64,FC,FF,EC,00
02,73,04,64,0A,FF,ED,00
0A,73,04,64,09,FF,ED,00
12,73,04,64,07,FF,EE,00
1A,73,04,64,06,FF,EE,00
22,73,04,64,07,FF,EC,00
2A,73,04,64,06,FF,EC,00
32,73,04,64,04,FF,ED,00
3A,73,04,64,03,FF,ED,00
42,73,04,64,00,FF,EF,00
4A,73,04,64,FF,05,EF,00
4A,73,04,64,FF,FF,EF,00
52,73,04,64,FF,05,EE,00
52,73,04,64,FF,FF,EE,00
5A,73,04,64,FE,FF,EE,00
62,73,04,64,FC,FF,EF,00
6A,73,04,64,FB,FF,EF,00
72,73,04,64,F9,FF,F0,00
7A,73,04,64,F8,FF,F0,00
02,73,04,64,07,FF,F0,00
0A,73,04,64,06,FF,F0,00
12,73,04,64,04,FF,F1,00
1A,73,04,64,03,FF,F1,00
22,73,04,64,00,FF,F3,00
2A,73,04,64,FF,05,F3,00
2A,73,04,64,FF,FF,F3,00
32,73,04,64,FD,FF,F4,00
3A,73,04,64,FC,FF,F4,00
42,73,04,64,FB,FF,F4,00
4A,73,04,64,FA,FF,F4,00
52,73,04,64,F9,FF,F4,00
5A,73,04,64,F8,FF,F4,00
62,73,04,64,F8,FF,F3,00
6A,73,04,64,F7,FF,F3,00
72,73,04,64,F6,FF,F3,00
7A,73,04,64,F5,FF,F3,00
02,73,04,64,06,FF,F1,00
0A,73,04,64,05,FF,F1,00
22,73,04,64,03,FF,F0,00
2A,73,04,64,02,FF,F0,00
32,73,04,64,02,FF,EF,00
3A,73,04,64,01,FF,EF,00
42,73,04,64,FF,05,F0,00
42,73,04,64,FF,FF,F0,00
4A,73,04,64,FE,FF,F0,00
62,73,04,64,FB,FF,F0,00
6A,73,04,64,FA,FF,F0,00
22,73,04,64,04,FF,EF,00
2A,73,04,64,03,FF,EF,00
32,73,04,64,FE,FF,F3,00
3A,73,04,64,FD,FF,F3,00
42,73,04,64,FC,FF,F3,00
4A,73,04,64,FB,FF,F3,00
52,73,04,64,F8,FF,F5,00
5A,73,04,64,F7,FF,F5,00
62,73,04,64,F6,FF,F5,00
6A,73,04,64,F5,FF,F5,00
72,73,04,64,F2,FF,F7,00
7A,73,04,64,F1,FF,F7,00
02,73,04,64,FE,FF,F9,00
0A,73,04,64,FD,FF,F9,00
12,73,04,64,FA,FF,FB,00
1A,73,04,64,F9,FF,FB,00
22,73,04,64,F7,FF,FC,00
2A,73,04,64,F6,FF,FC,00
32,73,04,64,F4,FF,FD,00
3A,73,04,64,F3,FF,FD,00
42,73,04,64,F1,FF,FE,00
4A,73,04,64,F0,FF,FE,00
52,73,04,64,EE,05,FF,00
52,73,04,64,EE,FF,FF,00
5A,73,04,64,ED,05,FF,00
5A,73,04,64,ED,FF,FF,00
62,73,04,64,ED,FF,FE,00
6A,73,04,64,EC,FF,FE,00
72,73,04,64,EA,05,FF,00
72,73,04,64,EA,FF,FF,00
7A,73,04,64,E9,05,FF,00
7A,73,04,64,E9,FF,FF,00
02,73,04,64,F9,FF,FE,00
0A,73,04,64,F8,FF,FE,00
12,73,04,64,F6,05,FF,00
12,73,04,64,F6,FF,FF,00
1A,73,04,64,F5,05,FF,00
1A,73,04,64,F5,FF,FF,00
22,73,04,64,F5,FF,FE,00
2A,73,04,64,F4,FF,FE,00
32,73,04,64,F3,FF,FE,00
3A,73,04,64,F2,FF,FE,00
42,73,04,64,F2,FF,FD,00
4A,73,04,64,F1,FF,FD,00
52,73,04,64,F2,FF,FB,00
5A,73,04,64,F1,FF,FB,00
72,73,04,64,EC,FF,FD,00
7A,73,04,64,EB,FF,FD,00
02,73,04,64,FB,FF,FC,00
0A,73,04,64,FA,FF,FC,00
22,73,04,64,F8,FF,FB,00
2A,73,04,64,F7,FF,FB,00
32,73,04,64,F5,FF,FC,00
3A,73,04,64,F4,FF,FC,00
42,73,04,64,F4,FF,FB,00
4A,73,04,64,F3,FF,FB,00
52,73,04,64,F1,FF,FC,00
5A,73,04,64,F0,FF,FC,00
62,73,04,64,EE,FF,FD,00
6A,73,04,64,ED,FF,FD,00
02,73,04,64,F8,05,FF,00
02,73,04,64,F8,FF,FF,00
0A,73,04,64,F7,05,FF,00
0A,73,04,64,F7,FF,FF,00
12,73,04,64,F4,FF,00,00
1A,73,04,64,F3,FF,00,00
22,73,04,64,F2,FF,00,00
2A,73,04,64,F1,FF,00,00
32,73,04,64,EE,FF,02,00
3A,73,04,64,ED,FF,02,00
42,73,04,64,EB,FF,03,00
4A,73,04,64,EA,FF,03,00
52,73,04,64,EA,FF,02,00
5A,73,04,64,E9,FF,02,00
62,73,04,64,E7,FF,03,00
6A,73,04,64,E6,FF,03,00
72,73,04,64,E5,FF,03,00
7A,73,04,64,E4,FF,03,00
02,73,04,64,F3,FF,03,00
0A,73,04,64,F2,FF,03,00
12,73,04,64,F0,FF,04,00
1A,73,04,64,EF,FF,04,00
22,73,04,64,EF,FF,03,00
2A,73,04,64,EE,FF,03,00
32,73,04,64,EC,FF,04,00
3A,73,04,64,EB,FF,04,00
52,73,04,64,E8,FF,04,00
5A,73,04,64,E7,FF,04,00
62,73,04,64,E5,FF,05,00
6A,73,04,64,E4,FF,05,00
72,73,04,64,E3,FF,05,00
7A,73,04,64,E2,FF,05,00
02,73,04,64,F0,FF,06,00
0A,73,04,64,EF,FF,06,00
12,73,04,64,EE,FF,06,00
1A,73,04,64,ED,FF,06,00
22,73,04,64,EB,FF,07,00
